danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,album_name,artist_name
0.38,0.554,10,-9.093,1,0.0253,0.0173,0.0,0.0996,0.574,147.363,audio_features,1RP85mAmvJ8baqjP53kFJu,spotify:track:1RP85mAmvJ8baqjP53kFJu,https://api.spotify.com/v1/tracks/1RP85mAmvJ8baqjP53kFJu,https://api.spotify.com/v1/audio-analysis/1RP85mAmvJ8baqjP53kFJu,431453,4,Hey Jude - 2015 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.488,0.93,6,-7.106,1,0.119,0.194,0.000132,0.254,0.766,121.382,audio_features,480xRq7FAfpALfOtysLj1T,spotify:track:480xRq7FAfpALfOtysLj1T,https://api.spotify.com/v1/tracks/480xRq7FAfpALfOtysLj1T,https://api.spotify.com/v1/audio-analysis/480xRq7FAfpALfOtysLj1T,201813,4,Revolution - 2023 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.516,0.897,9,-9.665,1,0.0345,0.00106,0.000204,0.202,0.926,142.659,audio_features,0mPGPWrPY9H7vL5phQXu7B,spotify:track:0mPGPWrPY9H7vL5phQXu7B,https://api.spotify.com/v1/tracks/0mPGPWrPY9H7vL5phQXu7B,https://api.spotify.com/v1/audio-analysis/0mPGPWrPY9H7vL5phQXu7B,165827,4,Back In The U.S.S.R - 2018 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.381,0.524,2,-10.425,1,0.0491,0.101,0.000876,0.155,0.323,150.401,audio_features,2d3XQmPoN1rq7zqM8Zs4h8,spotify:track:2d3XQmPoN1rq7zqM8Zs4h8,https://api.spotify.com/v1/tracks/2d3XQmPoN1rq7zqM8Zs4h8,https://api.spotify.com/v1/audio-analysis/2d3XQmPoN1rq7zqM8Zs4h8,239960,4,Dear Prudence - 2018 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.429,0.615,2,-9.81,1,0.0341,0.0022,0.00466,0.283,0.74,114.848,audio_features,1V6aXW3pGFN0fzPh9P56N3,spotify:track:1V6aXW3pGFN0fzPh9P56N3,https://api.spotify.com/v1/tracks/1V6aXW3pGFN0fzPh9P56N3,https://api.spotify.com/v1/audio-analysis/1V6aXW3pGFN0fzPh9P56N3,286787,4,While My Guitar Gently Weeps - 2018 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.798,0.746,10,-8.325,1,0.0337,0.167,0.102,0.19,0.969,113.196,audio_features,2bboWbWhFazeNTgTUXCejf,spotify:track:2bboWbWhFazeNTgTUXCejf,https://api.spotify.com/v1/tracks/2bboWbWhFazeNTgTUXCejf,https://api.spotify.com/v1/audio-analysis/2bboWbWhFazeNTgTUXCejf,191387,4,"Ob-La-Di, Ob-La-Da - 2018 Mix",The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.538,0.572,7,-9.362,0,0.0547,0.00241,0.00502,0.0964,0.568,120.341,audio_features,0badTdtgXHJsKAGupbE55Q,spotify:track:0badTdtgXHJsKAGupbE55Q,https://api.spotify.com/v1/tracks/0badTdtgXHJsKAGupbE55Q,https://api.spotify.com/v1/audio-analysis/0badTdtgXHJsKAGupbE55Q,139613,4,Glass Onion - 2018 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.652,0.139,7,-14.573,1,0.0372,0.832,3.98e-06,0.0599,0.348,93.762,audio_features,0vboF3VACqsNm2hGK3ihME,spotify:track:0vboF3VACqsNm2hGK3ihME,https://api.spotify.com/v1/tracks/0vboF3VACqsNm2hGK3ihME,https://api.spotify.com/v1/audio-analysis/0vboF3VACqsNm2hGK3ihME,141360,4,Blackbird - 2018 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.532,0.839,4,-6.498,0,0.0289,0.00185,0.549,0.252,0.803,100.831,audio_features,3iGns07SjzqHZGn6h8FKVS,spotify:track:3iGns07SjzqHZGn6h8FKVS,https://api.spotify.com/v1/tracks/3iGns07SjzqHZGn6h8FKVS,https://api.spotify.com/v1/audio-analysis/3iGns07SjzqHZGn6h8FKVS,191720,4,Hey Bulldog - 2023 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.715,0.628,2,-8.609,1,0.0406,0.19,0.0225,0.0853,0.259,122.928,audio_features,1Fmx1H4LS8thxeKaZSQw6d,spotify:track:1Fmx1H4LS8thxeKaZSQw6d,https://api.spotify.com/v1/tracks/1Fmx1H4LS8thxeKaZSQw6d,https://api.spotify.com/v1/audio-analysis/1Fmx1H4LS8thxeKaZSQw6d,192507,4,Get Back - 2015 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.571,0.392,6,-10.253,0,0.0255,0.486,6.41e-05,0.102,0.781,76.638,audio_features,5yaOfpqLhytIGYwzUNxhSQ,spotify:track:5yaOfpqLhytIGYwzUNxhSQ,https://api.spotify.com/v1/tracks/5yaOfpqLhytIGYwzUNxhSQ,https://api.spotify.com/v1/audio-analysis/5yaOfpqLhytIGYwzUNxhSQ,214960,4,Don’t Let Me Down - 2021 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.651,0.871,4,-7.421,1,0.0322,0.00578,6.2e-06,0.111,0.964,135.338,audio_features,5L3DSr5sb363knSKbGyQ7V,spotify:track:5L3DSr5sb363knSKbGyQ7V,https://api.spotify.com/v1/tracks/5L3DSr5sb363knSKbGyQ7V,https://api.spotify.com/v1/audio-analysis/5L3DSr5sb363knSKbGyQ7V,180787,4,The Ballad Of John And Yoko - 2015 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.516,0.694,1,-9.668,1,0.0474,0.00101,5.76e-05,0.162,0.475,143.0,audio_features,1ZVqiQIgIXptCJ7e2FJl1u,spotify:track:1ZVqiQIgIXptCJ7e2FJl1u,https://api.spotify.com/v1/tracks/1ZVqiQIgIXptCJ7e2FJl1u,https://api.spotify.com/v1/audio-analysis/1ZVqiQIgIXptCJ7e2FJl1u,198613,4,Old Brown Shoe - 2023 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.575,0.533,9,-10.947,1,0.0414,0.0417,7.04e-05,0.098,0.276,129.116,audio_features,772dxxQxHg5uMOSFfwqpKQ,spotify:track:772dxxQxHg5uMOSFfwqpKQ,https://api.spotify.com/v1/tracks/772dxxQxHg5uMOSFfwqpKQ,https://api.spotify.com/v1/audio-analysis/772dxxQxHg5uMOSFfwqpKQ,187347,4,Here Comes The Sun - 2019 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.533,0.324,9,-12.403,0,0.0448,0.0783,0.147,0.1,0.151,164.584,audio_features,2oyiEA0mYPRAxGZwxNOScq,spotify:track:2oyiEA0mYPRAxGZwxNOScq,https://api.spotify.com/v1/tracks/2oyiEA0mYPRAxGZwxNOScq,https://api.spotify.com/v1/audio-analysis/2oyiEA0mYPRAxGZwxNOScq,259693,4,Come Together - 2019 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.429,0.352,0,-10.924,1,0.0295,0.102,2.67e-05,0.128,0.45,133.367,audio_features,5lwhEPfBUN3ECthg5EeCg2,spotify:track:5lwhEPfBUN3ECthg5EeCg2,https://api.spotify.com/v1/tracks/5lwhEPfBUN3ECthg5EeCg2,https://api.spotify.com/v1/audio-analysis/5lwhEPfBUN3ECthg5EeCg2,183693,4,Something - 2019 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.549,0.63,1,-7.229,0,0.0348,0.114,0.000205,0.166,0.594,92.293,audio_features,25zD0MSS1r7sN6kk9uCl38,spotify:track:25zD0MSS1r7sN6kk9uCl38,https://api.spotify.com/v1/tracks/25zD0MSS1r7sN6kk9uCl38,https://api.spotify.com/v1/audio-analysis/25zD0MSS1r7sN6kk9uCl38,172253,4,Octopus's Garden - 2019 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.439,0.62,4,-8.327,1,0.042,0.0474,0.00137,0.397,0.56,174.123,audio_features,0w5VRe56ikFZNWSpzOkOvK,spotify:track:0w5VRe56ikFZNWSpzOkOvK,https://api.spotify.com/v1/tracks/0w5VRe56ikFZNWSpzOkOvK,https://api.spotify.com/v1/audio-analysis/0w5VRe56ikFZNWSpzOkOvK,208640,3,Oh! Darling - 2019 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.317,0.47,9,-10.105,0,0.0316,0.019,0.0489,0.0424,0.362,143.076,audio_features,3xw4UFPB1sa6oiz6ZoZSir,spotify:track:3xw4UFPB1sa6oiz6ZoZSir,https://api.spotify.com/v1/tracks/3xw4UFPB1sa6oiz6ZoZSir,https://api.spotify.com/v1/audio-analysis/3xw4UFPB1sa6oiz6ZoZSir,467373,3,I Want You (She's So Heavy) - 2019 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.443,0.398,0,-9.58,1,0.0364,0.639,4.39e-05,0.111,0.474,139.244,audio_features,7jMkbyobeOAlyK2t0yt34L,spotify:track:7jMkbyobeOAlyK2t0yt34L,https://api.spotify.com/v1/tracks/7jMkbyobeOAlyK2t0yt34L,https://api.spotify.com/v1/audio-analysis/7jMkbyobeOAlyK2t0yt34L,231733,4,Let It Be - 2021 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
